Year,Code,Economy,GEDI Ranking,GEDI Score,Perceived Capabilities ,Perceived Opportunities ,Fear of Failure Rate ,Entrepreneurial Intention ,Know Startup Entrepreneur Rate ,Entrepreneurship as Desirable Career Choice,High Status Successful Entrepreneurship ,Media Attention for Entrepreneurship ,Nascent Entrepreneurship Rate ,New Business Ownership Rate ,Total early-stage Entrepreneurial Activity (TEA),Established Business Ownership Rate ,Necessity-Driven Entrepreneurial Activity: Relative Prevalence,Improvement-Driven Opportunity Entrepreneurial Activity: Relative Prevalence,Total early-stage Entrepreneurial Activity for Male Working Age Population,Total early-stage Entrepreneurial Activity for Female Working Age Population,Informal Investors Rate,Growth Expectation early-stage Entrepreneurial Activity: Relative Prevalence,New Product early-stage Entrepreneurial Activity,International Orientation early-stage Entrepreneurial Activity,Financing for entrepreneurs,Governmental support and policies,Taxes and bureaucracy,Governmental programs,Basic-school Entrepreneurial Education and training,Post-school entrepreneurial education and training,R&D Transfer,Commercial and professional infrastructure,Internal market dynamics,Internal market openness,Physical and services infrastructure,Cultural and social norms,WVSV10,WVSV100,WVSV11,WVSV12,WVSV13,WVSV134,WVSV137,WVSV14,WVSV144,WVSV145,WVSV146,WVSV147,WVSV148,WVSV15,WVSV150,WVSV152,WVSV16,WVSV17,WVSV18,WVSV181,WVSV182,WVSV188,WVSV19,WVSV190,WVS191,WVSV192,WVSV193,WVSV196,WVSV20,WVSV21,WVSV22,WVSV229,WVSV23,WVSV233,WVSV235,WVSV236,WVSV237,WVSV238,WVSV239,WVSV25,WVSV30,WVSV32,WVSV34,WVSV49,WVSV55,WVSV58,WVSV59,WVSV6,WVSV67,WVSV68,WVSV69,WVSV70,WVSV71,WVSV73,WVSV74,WVSV74B,WVSV75,WVSV76,WVSV77,WVSV78,WVSV79,WVSV8,WVSV82,WVSV83,WVSV96,WVSV97,WVSV98,WVSV99
2014,506,Costa Rica,61,37.2,59.39,39,36.83,28.95,41.39,61.33,59,79.7,7.58,3.74,11.33,2.53,19.31,63.52,11.66,11.02,5.35,18.45,41.2,10.09,1.9,2.39,2.02,2.8,1.93,3.07,2.12,2.63,2.42,2.58,3.39,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,Côte d’Ivoire,113,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,385,Croatia,50,40.9,45.91,18.43,30.3,19.5,25.05,63.27,46.58,40.44,5.95,2.02,7.97,3.61,46.57,28.67,11.28,4.75,2.67,40.5,27.29,38.38,2.32,2.15,1.55,2.27,1.68,2.35,2.04,2.9,3.37,2.08,3.67,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,Cyprus,52,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.908,5.204,2.038,1.646,1.529,7.571,5.752,1.209,47.284,4.476,4.424,1.3,0.999,1.741,1.71,8.499,1.305,1.686,1.617,2.156,2.017,3.616,1.686,3.534,3.311,7.568,7.634,4.075,1.607,1.616,1.568,3.056,6.947,3.91,1.57,0.039,2.081,2.87,5.113,0.262,0.151,0.217,0.161,1.612,7.532,1.4,5.785,1.54,2.102,1.45,1.542,2.129,4.152,3.58,1.891,-4,2.465,3.496,2.147,2.167,2.196,1.454,1.842,1.91,3.432,4.72,3.694,3.846
2014,,Czech Republic,42,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,45,Denmark,5,72.5,34.88,59.66,40.99,6.92,32.23,,,,3.07,2.49,5.47,5.09,5.43,60.15,7.12,3.79,3.4,21.84,57.24,13.29,2.73,3.33,3.31,3.43,3.1,3.43,2.77,3.56,2.43,3.44,4.49,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,Dominican Republic,68,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,593,Ecuador,85,29.3,72.81,62.02,30.67,43.1,37.92,66.43,67.13,82.89,24.54,9.92,32.61,17.67,29.43,34.95,33.04,32.18,5.4,10.03,43.98,1.76,2.19,2.98,2.19,2.66,2.36,3.18,2.35,2.76,2.46,2.72,4.05,2.99,1.5,3.633111,2.037438,1.625624,1.556572,5.699667,5.933444,1.250416,44.2396,3.181364,2.613977,1.291181,1.027454,1.748752,1.818636,9.28619,1.322795,1.527454,1.746256,1.72629,1.733777,3.547421,1.509983,3.420965,3.166389,7.089018,7.222962,5.53411,1.459235,1.402662,1.873544,3.272879,7.918469,3.405158,-0.249584,1.300333,2.239601,3.422629,4.988353,0.5124792,0.0557404,0.09401,0.0873544,1.294509,7.846922,2.176373,6.661398,1.591514,2.477537,1.290349,1.173877,2.332779,4.024958,2.413478,2.218802,2.396839,2.514975,3.144759,2.306156,2.239601,2.232113,1.169717,1.93178,1.923461,5.528286,5.6797,5.559068,3.797837
2014,,Egypt,95,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.060407,2.684833,2.430072,1.217991,1.561392,7.019698,7.355877,1.379514,-4,4.189757,-4,-4,-4,1.943533,1.594879,-4,1.357846,1.777413,1.837163,1.620486,1.60998,3.208142,1.190414,3.16218,3.087984,8.267236,8.208798,5.004596,1.700591,1.546947,1.818779,4.066316,5.010506,0.2856205,1.705844,1.206829,2.120158,3.621799,4.269862,0.0144452,0.0026264,0.0118188,0.0026264,1.328956,6.290217,1.615233,4.972423,2.356533,2.623769,1.200919,1.168089,2.908076,3.749179,3.524622,2.312541,2.187787,2.782009,3.77413,1.973079,2.371635,1.83782,1.909389,1.975706,1.992121,4.242942,6.755089,3.114905,2.543007
2014,503,El Salvador,79,31,70.81,44.69,34.9,23.06,41.54,82.57,59.49,59.55,11.37,8.74,19.48,12.73,31.95,54.48,19.26,19.69,4.46,6.67,10.57,3.84,1.88,2.26,1.92,2.5,1.64,2.76,1.88,2.65,2.68,2.46,3.89,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,372,Estonia,22,59,42.47,49.44,41.77,9.85,41.98,55.56,64.93,43.34,6.34,3.54,9.43,5.7,15.1,41.15,11.21,7.71,6.78,22.4,46.88,23.97,2.86,2.43,3.58,3.39,2.63,2.99,2.92,3.21,3.39,3.12,4.39,3.39,2.080887,5.048271,2.52381,1.463144,1.118721,7.906067,6.439661,1.116765,18.92955,5.554468,6.335943,1.581213,1.142857,1.63666,1.290933,4.134377,1.155251,1.229615,1.307893,1.860404,2.004566,3.558382,1.812133,3.555773,2.673842,7.64775,8.221135,5.035877,1.573386,1.375734,1.377038,2.802348,6.172211,6.074364,1.393999,-1.153294,2.024788,3.131115,4.297456,0.1806915,0.0293542,0.0658839,0.0450098,1.862361,6.212655,1.443575,5.283105,1.781474,2.216569,1.345727,1.570776,3.181996,4.150033,3.551207,3.103718,-4,3.82257,4.080887,2.745597,2.787997,2.825179,1.694716,1.908676,1.967384,3.615786,5.508806,3.587736,3.656882
2014,,Ethiopia,111,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,358,Finland,8,69.3,34.88,42.38,36.76,7.94,43.08,41.24,84.4,66.93,3.45,2.29,5.63,6.6,15.62,63.12,6.63,4.63,3.08,15.7,42.97,12.89,2.82,3.17,2.95,2.77,2.28,2.7,2.61,3.2,3.23,2.72,4.25,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,33,France,13,67.2,35.44,28.26,41.18,14.2,35.93,59.05,70.43,38.98,3.69,1.71,5.34,2.94,16.06,69.15,6.68,4.03,3.36,30.81,51.47,21.96,2.77,2.99,2.96,3.17,1.75,2.92,2.73,3.06,3.02,2.34,4.04,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,Gabon,71,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,Gambia,107,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,995,Georgia,,,37.54,36.58,34.78,15.58,20.98,65.99,75.92,58.45,4.1,3.23,7.22,7.28,48.59,30.95,8.05,6.47,2.75,21.64,28.95,21.29,2.15,2.94,3.95,2.37,2.35,2.91,1.83,3.1,2.61,2.92,4.02,3.19,2.137271,5.133943,2.638935,1.384359,1.086522,6.496672,4.297005,1.123128,51.3594,3.939268,3.546589,1.026622,1.001664,1.908486,1.722962,9.15807,1.326123,1.753744,1.752912,1.522463,1.587354,3.122296,1.364393,2.979201,2.373544,7.254576,8.016639,4.852745,1.854409,1.81198,1.877704,4.235441,5.43594,4.415973,1.442596,1.159734,3.118136,3.225458,3.6198,0.2787022,0.0033278,0.0033278,0.0024958,1.542429,6.143927,1.584859,3.998336,2.014143,2.523295,1.332779,1.368552,2.900998,3.937604,3.855241,2.001664,1.81614,2.600666,3.68802,1.929285,1.853577,1.580699,1.425125,1.937604,1.934276,5.846922,4.68802,2.841098,2.940932
2014,49,Germany,17,64.6,36.4,37.59,39.95,5.93,23.97,51.66,79.1,51.41,3.05,2.25,5.27,5.15,23.18,53.74,6.54,3.97,3.84,27.43,37.28,21.09,2.84,2.93,2.87,3.46,2.13,2.81,2.75,3.34,2.84,2.81,3.82,2.65,1.88172,4.677908,2.127077,1.250733,1.808895,7.930596,5.675464,1.152981,22.67351,5.339687,5.997556,1.653959,1.38172,1.679863,1.190616,4.29521,1.279081,1.587977,1.406647,1.966764,1.48045,3.878299,1.889541,3.875367,3.744379,7.577224,8.1261,3.569892,1.931574,1.840176,1.57087,2.919844,7.380254,5.477028,1.266373,-1.511241,1.557185,2.934018,4.524927,0.5366569,0.072825,0.1705767,0.0591398,1.546432,6.928152,1.376344,6.466276,1.797654,1.916422,1.434995,1.490225,2.780547,3.885142,3.004399,0.4941349,0.1950147,2.747312,4.315738,3.202835,2.896383,3.032747,1.485337,1.804008,1.960411,3.745357,4.776637,4.533724,3.848485
2014,,Ghana,94,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.660438,3.012242,1.610825,1.699098,1.153995,5.426546,4.628866,1.634021,56.51031,2.166881,1.556701,1.028995,1.003222,1.880799,1.618557,9.699098,1.331186,1.768041,1.528351,1.35567,1.279639,3.405928,1.29317,3.221649,2.871778,7.751289,7.935567,5.253222,1.772552,1.261598,1.761598,3.833119,6.422036,4.458763,1.625644,1.121134,1.688789,3.441366,4.852448,1.635954,0.2177835,0.1701031,0.2525773,1.267397,7.434923,1.529639,4.907861,1.607603,2.80799,1.170103,1.061856,1.976804,2.420747,3.751289,1.797036,-4,1.867268,2.710696,1.719072,1.949742,2.26482,1.069588,1.935567,1.943299,6.887887,5.670747,5.007088,2.965851
2014,30,Greece,59,37.8,45.54,19.91,61.58,9.53,25.89,58.42,66.42,45.8,4.58,3.37,7.85,12.84,34.77,30.53,9.89,5.81,3.47,12.02,37.13,17.71,2.11,2.07,1.74,1.95,1.5,2.31,2.26,3.05,3.42,2.12,3.53,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,502,Guatemala,109,20.7,64.17,45.38,33.03,35.79,26.75,95.33,76.92,60.61,11.98,9.19,20.39,7.36,40.62,38.93,24.43,16.85,4.41,7.74,66.84,2.5,2.04,1.91,2.1,1.87,1.73,3.06,2.09,2.89,2.41,2.53,3.83,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
